City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind,Country,Date
sault sainte marie,46.5168,-84.3333,6.8,66,20,4.61,CA,1613183026
hobart,-42.8794,147.3294,66.2,55,40,13.8,AU,1613183026
aginskoye,51.1,114.53,-4.49,83,0,17.63,RU,1613183026
puerto ayora,-0.7393,-90.3518,75.99,95,89,1.99,EC,1613183026
dikson,73.5069,80.5464,-26.0,87,98,11.14,RU,1613183026
sampit,-2.5333,112.95,87.66,63,10,2.95,ID,1613183026
ushuaia,-54.8,-68.3,57.2,51,75,12.66,AR,1613182856
provideniya,64.3833,-173.3,-0.18,90,100,29.48,RU,1613183027
mataura,-46.1927,168.8643,73.0,54,85,4.0,NZ,1613183027
norman wells,65.282,-126.8329,-11.2,77,20,3.44,CA,1613183027
kapaa,22.0752,-159.319,77.0,57,1,8.05,US,1613183027
sitka,57.0531,-135.33,37.4,30,20,9.22,US,1613183027
kytmanovo,53.4593,85.4479,-23.51,87,2,2.64,RU,1613183027
quelimane,-17.8786,36.8883,74.53,95,26,4.52,MZ,1613182884
avarua,-21.2078,-159.775,86.0,62,75,5.75,CK,1613183027
chuy,-33.6971,-53.4616,70.97,89,100,10.45,UY,1613183027
tiksi,71.6872,128.8694,-10.19,91,48,3.33,RU,1613183028
afua,-0.1567,-50.3867,76.86,92,100,5.53,BR,1613183028
tiznit,29.5833,-9.5,58.53,58,63,1.52,MA,1613183028
cidreira,-30.1811,-50.2056,75.22,80,100,15.03,BR,1613183028
ponta do sol,32.6667,-17.1,55.99,71,12,1.99,PT,1613183028
caravelas,-17.7125,-39.2481,75.96,85,98,5.5,BR,1613183028
vaini,-21.2,-175.2,86.0,74,75,8.05,TO,1613183029
avera,33.194,-82.5271,42.8,86,90,6.91,US,1613183029
bambous virieux,-20.3428,57.7575,78.8,78,40,11.5,MU,1613183029
punta arenas,-53.15,-70.9167,55.4,54,90,10.36,CL,1613183029
petawawa,45.9001,-77.3328,0.0,50,1,3.51,CA,1613183029
faya,18.3851,42.4509,51.8,76,0,2.06,SA,1613183029
castro,-24.7911,-50.0119,61.25,94,37,3.04,BR,1613183029
itupiranga,-5.1347,-49.3267,75.04,95,100,3.98,BR,1613183029
maragogi,-9.0122,-35.2225,78.44,80,4,8.9,BR,1613182927
albany,42.6001,-73.9662,14.0,51,78,3.47,US,1613182922
torrington,41.8007,-73.1212,26.6,39,90,3.49,US,1613182959
esperance,-33.8667,121.9,73.4,46,0,5.75,AU,1613183030
cape town,-33.9258,18.4232,66.99,88,0,1.14,ZA,1613182840
busselton,-33.65,115.3333,75.0,58,0,1.99,AU,1613183030
touzim,50.0605,12.9851,10.0,92,0,3.44,CZ,1613183030
baixo guandu,-19.5189,-41.0158,70.97,89,100,3.4,BR,1613182820
ribeira grande,38.5167,-28.7,60.64,78,100,30.76,PT,1613183030
yegros,-26.45,-56.4,70.07,74,0,1.95,PY,1613183030
havoysund,70.9963,24.6622,26.6,68,75,12.66,NO,1613183030
saint-philippe,-21.3585,55.7679,78.8,65,0,12.66,RE,1613183030
nome,64.5011,-165.4064,28.4,74,90,20.71,US,1613183031
rikitea,-23.1203,-134.9692,80.46,71,7,10.07,PF,1613183031
tartagal,-22.5164,-63.8013,73.49,66,55,2.93,AR,1613183031
odweyne,9.4092,45.064,61.95,30,100,5.73,SO,1613183031
hermanus,-34.4187,19.2345,71.01,81,0,3.0,ZA,1613183031
lakeway,30.3638,-97.9796,28.99,93,90,8.81,US,1613183031
thompson,55.7435,-97.8558,-31.0,68,1,1.43,CA,1613183031
cayenne,4.9333,-52.3333,78.8,94,75,8.05,GF,1613183031
emba,48.8264,58.1442,21.16,94,80,9.06,KZ,1613183032
severo-kurilsk,50.6789,156.125,28.8,95,99,7.47,RU,1613183032
acapulco,16.8634,-99.8901,77.0,78,1,6.91,MX,1613182937
port alfred,-33.5906,26.891,75.0,94,74,4.0,ZA,1613183032
acari,-15.4311,-74.6158,74.08,64,9,1.81,PE,1613183032
qaanaaq,77.484,-69.3632,-1.77,70,0,5.08,GL,1613183032
banda aceh,5.5577,95.3222,82.67,72,42,6.96,ID,1613183032
marsaxlokk,35.8419,14.5431,57.99,88,0,8.05,MT,1613183032
arraial do cabo,-22.9661,-42.0278,76.17,89,100,14.2,BR,1613183033
pangnirtung,66.1451,-65.7125,-18.94,82,100,0.09,CA,1613183033
nortelandia,-14.4547,-56.8028,72.0,90,98,3.85,BR,1613183033
vardo,70.3705,31.1107,20.43,92,84,9.33,NO,1613183033
fortuna,40.5982,-124.1573,52.0,100,90,3.78,US,1613183033
faanui,-16.4833,-151.75,81.9,74,24,11.77,PF,1613183033
elverum,60.8819,11.5623,5.81,85,0,3.22,NO,1613183033
monor,47.3513,19.4473,16.0,73,0,8.05,HU,1613183033
batemans bay,-35.7167,150.1833,71.01,71,93,7.23,AU,1613183033
lakes entrance,-37.8811,147.981,72.0,58,0,1.99,AU,1613182955
carndonagh,55.25,-7.2667,31.73,90,100,27.51,IE,1613183034
arona,28.0996,-16.681,63.0,77,20,6.91,ES,1613183034
tokur,53.1333,132.9,12.85,95,100,4.05,RU,1613183034
pasni,25.2631,63.471,68.05,55,0,3.42,PK,1613183034
torbay,47.6666,-52.7314,30.99,86,90,29.93,CA,1613183034
zaoyang,32.1272,112.7542,59.13,70,100,6.8,CN,1613183034
andenes,69.3143,16.1194,30.2,55,90,23.58,NO,1613183034
gillette,44.2911,-105.5022,-5.01,84,90,8.05,US,1613182978
hilo,19.7297,-155.09,80.6,57,1,12.66,US,1613182881
solwezi,-12.1688,26.3894,61.2,97,100,5.88,ZM,1613183035
iqaluit,63.7506,-68.5145,-11.2,77,20,6.91,CA,1613183035
omsukchan,62.5333,155.8,-11.11,86,23,4.92,RU,1613183035
coihaique,-45.5752,-72.0662,57.2,58,0,4.65,CL,1613183035
bluff,-46.6,168.3333,73.0,54,74,4.0,NZ,1613183036
yulara,-25.2406,130.9889,69.8,64,90,17.27,AU,1613183036
georgetown,5.4112,100.3354,84.99,69,20,9.22,MY,1613183036
bethel,41.3712,-73.414,28.4,30,90,3.44,US,1613183036
domoni,-12.2569,44.5319,80.46,80,98,11.68,KM,1613183036
